state,county,county_fips,year,office,votes_dem,votes_rep,total_votes,dem_share
CA,Alameda,6001,2020,PRESIDENT,617659,136309,769864,0.8192111601553381
CA,Alpine,6003,2020,PRESIDENT,476,244,741,0.6611111111111111
CA,Amador,6005,2020,PRESIDENT,8153,13585,22302,0.3750575029901555
CA,Butte,6007,2020,PRESIDENT,50426,48730,102042,0.508552180402598
CA,Calaveras,6009,2020,PRESIDENT,10046,16518,27164,0.3781809968378256
CA,Colusa,6011,2020,PRESIDENT,3234,4554,7951,0.4152542372881356
CA,Contra Costa,6013,2020,PRESIDENT,416386,152877,581230,0.731447503175158
CA,Del Norte,6015,2020,PRESIDENT,4677,6461,11452,0.4199138085832286
CA,El Dorado,6017,2020,PRESIDENT,51621,61838,116138,0.4549749248627257
CA,Fresno,6019,2020,PRESIDENT,193025,164464,364809,0.539946683674183
CA,Glenn,6021,2020,PRESIDENT,3995,7063,11292,0.3612769035992041
CA,Humboldt,6023,2020,PRESIDENT,44768,21770,68828,0.6728185397817789
CA,Imperial,6025,2020,PRESIDENT,34678,20847,56718,0.6245475011256191
CA,Inyo,6027,2020,PRESIDENT,4634,4620,9481,0.5007564296520424
CA,Kern,6029,2020,PRESIDENT,133366,164484,305226,0.4477622964579486
CA,Kings,6031,2020,PRESIDENT,18699,24072,43858,0.4371887493862664
CA,Lake,6033,2020,PRESIDENT,14941,13123,28800,0.5323902508551881
CA,Lassen,6035,2020,PRESIDENT,2799,8970,11985,0.2378281927096609
CA,Los Angeles,6037,2020,PRESIDENT,3028885,1145530,4263443,0.7255831056567208
CA,Madera,6039,2020,PRESIDENT,23168,29378,53722,0.4409089179005062
CA,Marin,6041,2020,PRESIDENT,128288,24612,155801,0.839032047089601
CA,Mariposa,6043,2020,PRESIDENT,4088,5950,10280,0.4072524407252441
CA,Mendocino,6045,2020,PRESIDENT,28782,13267,43336,0.684487145948774
CA,Merced,6047,2020,PRESIDENT,48991,39397,90541,0.5542720731320994
CA,Modoc,6049,2020,PRESIDENT,1150,3109,4338,0.2700164357830477
CA,Mono,6051,2020,PRESIDENT,4013,2513,6737,0.6149249157217285
CA,Monterey,6053,2020,PRESIDENT,113953,46299,163883,0.7110862890946759
CA,Napa,6055,2020,PRESIDENT,49817,20676,72122,0.7066942817017292
CA,Nevada,6057,2020,PRESIDENT,36359,26779,64738,0.5758655643194273
CA,Orange,6059,2020,PRESIDENT,814009,676498,1521725,0.5461289346510952
CA,Placer,6061,2020,PRESIDENT,106869,122488,235017,0.465950461507606
CA,Plumas,6063,2020,PRESIDENT,4561,6445,11256,0.4144103216427403
CA,Riverside,6065,2020,PRESIDENT,527945,448702,996156,0.5405689056537316
CA,Sacramento,6067,2020,PRESIDENT,440808,259405,718290,0.6295341560353778
CA,San Benito,6069,2020,PRESIDENT,17628,10590,28821,0.6247076334254731
CA,San Bernardino,6071,2020,PRESIDENT,455859,366257,840931,0.5544947428343445
CA,San Diego,6073,2020,PRESIDENT,964650,600094,1601722,0.6164906208299888
CA,San Francisco,6075,2020,PRESIDENT,378156,56417,443458,0.8701783129646803
CA,San Joaquin,6077,2020,PRESIDENT,161137,121098,288443,0.5709320247311638
CA,San Luis Obispo,6079,2020,PRESIDENT,88310,67436,159681,0.56701295699408
CA,San Mateo,6081,2020,PRESIDENT,291410,75563,374138,0.7940911184201562
CA,Santa Barbara,6083,2020,PRESIDENT,129963,65736,200288,0.6640963929299588
CA,Santa Clara,6085,2020,PRESIDENT,617967,214612,850522,0.7422322686495816
CA,Santa Cruz,6087,2020,PRESIDENT,114246,26937,144796,0.8092050742653152
CA,Shasta,6089,2020,PRESIDENT,30000,60789,92900,0.330436506625252
CA,Sierra,6091,2020,PRESIDENT,730,1142,1930,0.3899572649572649
CA,Siskiyou,6093,2020,PRESIDENT,9593,13290,23450,0.4192195079316523
CA,Solano,6095,2020,PRESIDENT,131639,69306,205831,0.6550996541342158
CA,Sonoma,6097,2020,PRESIDENT,199938,61825,268252,0.7638130675458334
CA,Stanislaus,6099,2020,PRESIDENT,105841,104145,214876,0.5040383644623927
CA,Sutter,6101,2020,PRESIDENT,17367,24375,42640,0.4160557711657323
CA,Tehama,6103,2020,PRESIDENT,8911,19141,28721,0.317660059888778
CA,Trinity,6105,2020,PRESIDENT,2851,3188,6258,0.4720980294750787
CA,Tulare,6107,2020,PRESIDENT,66105,77579,146832,0.4600721026697475
CA,Tuolumne,6109,2020,PRESIDENT,11978,17689,30401,0.4037482724913203
CA,Ventura,6111,2020,PRESIDENT,251388,162207,422698,0.6078119899902078
CA,Yolo,6113,2020,PRESIDENT,67598,27292,97264,0.7123827589840869
CA,Yuba,6115,2020,PRESIDENT,11230,17676,29787,0.388500657302982
UT,Beaver,49001,2020,PRESIDENT,357,2695,3100,0.1169724770642201
UT,Box Elder,49003,2020,PRESIDENT,4473,21548,27027,0.1718996195380654
UT,Cache,49005,2020,PRESIDENT,16650,38032,57571,0.3044877656267145
UT,Carbon,49007,2020,PRESIDENT,2392,6693,9369,0.2632911392405063
UT,Daggett,49009,2020,PRESIDENT,111,496,619,0.1828665568369028
UT,Davis,49011,2020,PRESIDENT,57411,104135,169895,0.3553848439453778
UT,Duchesne,49013,2020,PRESIDENT,843,7513,8524,0.1008855911919578
UT,Emery,49015,2020,PRESIDENT,572,4207,4865,0.1196903117807072
UT,Garfield,49017,2020,PRESIDENT,514,2158,2732,0.1923652694610778
UT,Grand,49019,2020,PRESIDENT,2806,2248,5185,0.5552037989711119
UT,Iron,49021,2020,PRESIDENT,4892,18989,24890,0.2048490431723964
UT,Juab,49023,2020,PRESIDENT,645,5087,5866,0.1125261688764829
UT,Kane,49025,2020,PRESIDENT,1083,2998,4180,0.2653761333006616
UT,Millard,49027,2020,PRESIDENT,624,5404,6160,0.1035169210351692
UT,Morgan,49029,2020,PRESIDENT,1086,5181,6512,0.1732886548587841
UT,Piute,49031,2020,PRESIDENT,86,773,871,0.1001164144353899
UT,Rich,49033,2020,PRESIDENT,180,1157,1363,0.1346297681376215
UT,Salt Lake,49035,2020,PRESIDENT,289906,230174,541175,0.557425780649131
UT,San Juan,49037,2020,PRESIDENT,3113,3535,6878,0.4682611311672683
UT,Sanpete,49039,2020,PRESIDENT,1794,10459,12631,0.1464131233167387
UT,Sevier,49041,2020,PRESIDENT,1084,9052,10363,0.1069455406471981
UT,Summit,49043,2020,PRESIDENT,15244,10252,26088,0.5978977094446187
UT,Tooele,49045,2020,PRESIDENT,8943,21014,31518,0.2985278899756317
UT,Uintah,49047,2020,PRESIDENT,1663,13261,15307,0.1114312516751541
UT,Utah,49049,2020,PRESIDENT,76033,192812,284480,0.2828135170823337
UT,Wasatch,49051,2020,PRESIDENT,6187,10795,17581,0.3643269344011306
UT,Washington,49053,2020,PRESIDENT,20530,67294,90476,0.2337629805064675
UT,Wayne,49055,2020,PRESIDENT,365,1229,1621,0.2289836888331242
UT,Weber,49057,2020,PRESIDENT,40695,65949,111442,0.3815967143017891
WA,Adams,53001,2020,PRESIDENT,1814,3907,5862,0.3170774340150323
WA,Asotin,53003,2020,PRESIDENT,4250,7319,11951,0.3673610510847955
WA,Benton,53005,2020,PRESIDENT,38706,60365,103033,0.3906895055061521
WA,Chelan,53007,2020,PRESIDENT,19349,22746,43306,0.4596507898800333
WA,Clallam,53009,2020,PRESIDENT,24721,23062,49264,0.5173597304480673
WA,Clark,53011,2020,PRESIDENT,140324,126303,275403,0.5262932861263113
WA,Columbia,53013,2020,PRESIDENT,668,1754,2495,0.2758051197357555
WA,Cowlitz,53015,2020,PRESIDENT,23938,34424,60280,0.4101641479044584
WA,Douglas,53017,2020,PRESIDENT,7811,12955,21308,0.3761436964268516
WA,Ferry,53019,2020,PRESIDENT,1486,2771,4367,0.3490721165139769
WA,Franklin,53021,2020,PRESIDENT,13340,18039,32404,0.4251250836546735
WA,Garfield,53023,2020,PRESIDENT,366,1069,1489,0.2550522648083623
WA,Grant,53025,2020,PRESIDENT,11819,24764,37680,0.3230735587567996
WA,Grays Harbor,53027,2020,PRESIDENT,17354,19877,38441,0.4661169455561226
WA,Island,53029,2020,PRESIDENT,29213,22746,53925,0.5622317596566524
WA,Jefferson,53031,2020,PRESIDENT,17204,6931,24792,0.7128237000207168
WA,King,53033,2020,PRESIDENT,907310,269167,1210507,0.7712092969093318
WA,Kitsap,53035,2020,PRESIDENT,90277,61563,158672,0.5945534773445732
WA,Kittitas,53037,2020,PRESIDENT,11421,14105,26364,0.4474261537256131
WA,Klickitat,53039,2020,PRESIDENT,5959,7237,13560,0.4515762352227948
WA,Lewis,53041,2020,PRESIDENT,14520,29391,45309,0.3306688529070165
WA,Lincoln,53043,2020,PRESIDENT,1713,5150,7033,0.2495993005974063
WA,Mason,53045,2020,PRESIDENT,17269,18710,37303,0.4799744295283359
WA,Okanogan,53047,2020,PRESIDENT,8900,11840,21282,0.4291224686595949
WA,Pacific,53049,2020,PRESIDENT,6794,6953,14064,0.4942169200552848
WA,Pend Oreille,53051,2020,PRESIDENT,2593,5728,8553,0.3116211993750751
WA,Pierce,53053,2020,PRESIDENT,249506,197730,464081,0.557884427908308
WA,San Juan,53055,2020,PRESIDENT,9725,3057,13197,0.7608355499921765
WA,Skagit,53057,2020,PRESIDENT,38252,32762,73423,0.5386543498465092
WA,Skamania,53059,2020,PRESIDENT,3192,3885,7312,0.4510385756676557
WA,Snohomish,53061,2020,PRESIDENT,256728,166428,438796,0.6066982389473385
WA,Spokane,53063,2020,PRESIDENT,135765,148576,295430,0.4774724714339473
WA,Stevens,53065,2020,PRESIDENT,7839,19808,28430,0.2835389011465982
WA,Thurston,53067,2020,PRESIDENT,96608,65277,168134,0.5967693115483214
WA,Wahkiakum,53069,2020,PRESIDENT,1165,1741,2981,0.4008947006194081
WA,Walla Walla,53071,2020,PRESIDENT,13690,16400,31261,0.4549684280491858
WA,Whatcom,53073,2020,PRESIDENT,83660,50489,138620,0.6236349134171705
WA,Whitman,53075,2020,PRESIDENT,11184,9067,21126,0.5522690237519134
WA,Yakima,53077,2020,PRESIDENT,43179,50555,96193,0.4606546183882049
CA,Alameda,6001,2024,PRESIDENT,499551,140789,669800,0.7801339913171128
CA,Alpine,6003,2024,PRESIDENT,479,243,738,0.6634349030470914
CA,Amador,6005,2024,PRESIDENT,7783,14018,22402,0.3570019723865877
CA,Butte,6007,2024,PRESIDENT,44228,47179,94523,0.4838579102256938
CA,Calaveras,6009,2024,PRESIDENT,9181,16625,26479,0.3557699759745795
CA,Colusa,6011,2024,PRESIDENT,2431,4414,7021,0.3551497443389335
CA,Contra Costa,6013,2024,PRESIDENT,356008,155308,528904,0.6962582825493433
CA,Del Norte,6015,2024,PRESIDENT,4266,5999,10564,0.4155869459327813
CA,El Dorado,6017,2024,PRESIDENT,47703,61109,111890,0.4383983384185568
CA,Fresno,6019,2024,PRESIDENT,151628,165924,325994,0.4774903008011286
CA,Glenn,6021,2024,PRESIDENT,3260,6904,10442,0.3207398661944116
CA,Humboldt,6023,2024,PRESIDENT,39800,21559,64228,0.6486416010691178
CA,Imperial,6025,2024,PRESIDENT,26083,26546,54025,0.4956012844629386
CA,Inyo,6027,2024,PRESIDENT,4201,4468,8951,0.4846002999192525
CA,Kern,6029,2024,PRESIDENT,108241,167879,283246,0.3920070983630305
CA,Kings,6031,2024,PRESIDENT,15519,25074,41501,0.3823072943610967
CA,Lake,6033,2024,PRESIDENT,12794,13161,26759,0.4929300712772105
CA,Lassen,6035,2024,PRESIDENT,2478,8619,11371,0.2233035955663692
CA,Los Angeles,6037,2024,PRESIDENT,2417109,1189862,3728427,0.6701215507416056
CA,Madera,6039,2024,PRESIDENT,20981,32344,54624,0.393455227379278
CA,Marin,6041,2024,PRESIDENT,116152,24054,144113,0.8284381552857938
CA,Mariposa,6043,2024,PRESIDENT,3622,5625,9509,0.3916946036552395
CA,Mendocino,6045,2024,PRESIDENT,24049,13528,39216,0.6399925486334727
CA,Merced,6047,2024,PRESIDENT,40190,43955,86392,0.4776279042129657
CA,Modoc,6049,2024,PRESIDENT,1008,2884,4016,0.2589928057553957
CA,Mono,6051,2024,PRESIDENT,3522,2294,6064,0.6055708390646493
CA,Monterey,6053,2024,PRESIDENT,93060,49226,146718,0.6540348312553589
CA,Napa,6055,2024,PRESIDENT,43212,20357,65549,0.6797652944045054
CA,Nevada,6057,2024,PRESIDENT,33784,26177,62132,0.5634328980503994
CA,Orange,6059,2024,PRESIDENT,691731,654815,1390965,0.5137076639045379
CA,Placer,6061,2024,PRESIDENT,103958,123941,234809,0.4561582104353244
CA,Plumas,6063,2024,PRESIDENT,4020,5725,10067,0.4125192406362237
CA,Riverside,6065,2024,PRESIDENT,451782,463677,940405,0.4935032590208846
CA,Sacramento,6067,2024,PRESIDENT,381564,252140,656626,0.6021170767424538
CA,San Benito,6069,2024,PRESIDENT,15179,11702,27649,0.5646739332614114
CA,San Bernardino,6071,2024,PRESIDENT,362114,378416,761714,0.4889930185137671
CA,San Diego,6073,2024,PRESIDENT,841372,593270,1477786,0.5864682617684411
CA,San Francisco,6075,2024,PRESIDENT,323719,62594,402964,0.8379707646390362
CA,San Joaquin,6077,2024,PRESIDENT,126647,128996,263671,0.4954057024835415
CA,San Luis Obispo,6079,2024,PRESIDENT,81314,64932,150766,0.5560083694596776
CA,San Mateo,6081,2024,PRESIDENT,242957,76616,330510,0.7602550903862342
CA,Santa Barbara,6083,2024,PRESIDENT,114149,64870,184715,0.6376362285567454
CA,Santa Clara,6085,2024,PRESIDENT,510744,210924,750433,0.7077270988875771
CA,Santa Cruz,6087,2024,PRESIDENT,100998,27978,134135,0.7830759211016003
CA,Shasta,6089,2024,PRESIDENT,27130,59539,88900,0.3130300338067821
CA,Sierra,6091,2024,PRESIDENT,641,1066,1754,0.3755125951962507
CA,Siskiyou,6093,2024,PRESIDENT,8329,12461,21489,0.4006253006253006
CA,Solano,6095,2024,PRESIDENT,113997,70345,189834,0.6183994965878639
CA,Sonoma,6097,2024,PRESIDENT,179600,63426,251426,0.7390155785800696
CA,Stanislaus,6099,2024,PRESIDENT,85347,106986,197472,0.4437460030260017
CA,Sutter,6101,2024,PRESIDENT,13016,25372,39336,0.3390642909242471
CA,Tehama,6103,2024,PRESIDENT,7415,18503,26532,0.2860946060652828
CA,Trinity,6105,2024,PRESIDENT,2449,2979,5645,0.4511790714812085
CA,Tulare,6107,2024,PRESIDENT,53221,81854,138271,0.3940107347769757
CA,Tuolumne,6109,2024,PRESIDENT,10909,17210,28810,0.3879583199971549
CA,Ventura,6111,2024,PRESIDENT,217424,158901,387595,0.5777559290506876
CA,Yolo,6113,2024,PRESIDENT,61405,27844,92589,0.6880189133771807
CA,Yuba,6115,2024,PRESIDENT,10725,18491,30070,0.3670933734939759
UT,Beaver,49001,2024,PRESIDENT,394,2781,3212,0.1240944881889763
