state,county,county_fips,year,office,votes_dem,votes_rep,total_votes,dem_share
UT,Box Elder,49003,2024,PRESIDENT,5274,22853,28909,0.1875066661926263
UT,Cache,49005,2024,PRESIDENT,18718,39457,60229,0.3217533304684142
UT,Carbon,49007,2024,PRESIDENT,2525,6719,9445,0.2731501514495889
UT,Daggett,49009,2024,PRESIDENT,101,443,550,0.1856617647058823
UT,Davis,49011,2024,PRESIDENT,59895,101293,166492,0.3715847333548403
UT,Duchesne,49013,2024,PRESIDENT,1009,7815,8967,0.1143472348141432
UT,Emery,49015,2024,PRESIDENT,603,4341,5011,0.1219660194174757
UT,Garfield,49017,2024,PRESIDENT,541,2211,2811,0.1965843023255813
UT,Grand,49019,2024,PRESIDENT,2828,2327,5300,0.5485935984481086
UT,Iron,49021,2024,PRESIDENT,5683,21571,27876,0.208519850297204
UT,Juab,49023,2024,PRESIDENT,734,5671,6518,0.1145979703356752
UT,Kane,49025,2024,PRESIDENT,1137,3277,4486,0.2575894879927503
UT,Millard,49027,2024,PRESIDENT,713,5558,6385,0.1136979748046563
UT,Morgan,49029,2024,PRESIDENT,1256,5300,6757,0.1915802318486882
UT,Piute,49031,2024,PRESIDENT,94,854,963,0.0991561181434599
UT,Rich,49033,2024,PRESIDENT,214,1211,1447,0.1501754385964912
UT,Salt Lake,49035,2024,PRESIDENT,273658,221555,509492,0.5526066561257479
UT,San Juan,49037,2024,PRESIDENT,2581,3613,6328,0.4166935744268647
UT,Sanpete,49039,2024,PRESIDENT,1906,10653,12943,0.1517636754518672
UT,Sevier,49041,2024,PRESIDENT,1236,9526,10926,0.1148485411633525
UT,Summit,49043,2024,PRESIDENT,14612,10783,25876,0.5753888560740303
UT,Tooele,49045,2024,PRESIDENT,9560,23484,33988,0.2893112214017673
UT,Uintah,49047,2024,PRESIDENT,1952,13599,15831,0.1255224744389428
UT,Utah,49049,2024,PRESIDENT,84937,203476,297944,0.2944978208333189
UT,Wasatch,49051,2024,PRESIDENT,6459,11495,18354,0.359752701347889
UT,Washington,49053,2024,PRESIDENT,22327,73165,97243,0.2338101621078205
UT,Wayne,49055,2024,PRESIDENT,381,1238,1651,0.2353304508956145
UT,Weber,49057,2024,PRESIDENT,41238,67549,112017,0.3790710287074742
WA,Adams,53001,2024,PRESIDENT,1455,3767,5345,0.2786288778245883
WA,Asotin,53003,2024,PRESIDENT,4082,7004,11396,0.3682121594804257
WA,Benton,53005,2024,PRESIDENT,37662,59555,99947,0.3874013804170053
WA,Chelan,53007,2024,PRESIDENT,18397,22363,41893,0.4513493621197252
WA,Clallam,53009,2024,PRESIDENT,25440,21632,48390,0.540448674371176
WA,Clark,53011,2024,PRESIDENT,143206,123998,274795,0.5359425757099444
WA,Columbia,53013,2024,PRESIDENT,661,1737,2476,0.2756463719766472
WA,Cowlitz,53015,2024,PRESIDENT,22825,34580,59020,0.3976134483058967
WA,Douglas,53017,2024,PRESIDENT,7410,13095,21069,0.3613752743233357
WA,Ferry,53019,2024,PRESIDENT,1315,2667,4096,0.3302360622802612
WA,Franklin,53021,2024,PRESIDENT,11884,19086,31739,0.3837261866322247
WA,Garfield,53023,2024,PRESIDENT,330,973,1343,0.2532617037605525
WA,Grant,53025,2024,PRESIDENT,10806,24326,36069,0.3075828304679494
WA,Grays Harbor,53027,2024,PRESIDENT,17161,19432,37638,0.4689694750362091
WA,Island,53029,2024,PRESIDENT,29595,20967,52075,0.5853209920493652
WA,Jefferson,53031,2024,PRESIDENT,17459,6324,24572,0.73409578270193
WA,King,53033,2024,PRESIDENT,832606,252193,1122881,0.7675209877590227
WA,Kitsap,53035,2024,PRESIDENT,91731,59080,155893,0.6082513874982595
WA,Kittitas,53037,2024,PRESIDENT,10810,14645,26309,0.4246709880180711
WA,Klickitat,53039,2024,PRESIDENT,5917,7178,13527,0.4518518518518518
WA,Lewis,53041,2024,PRESIDENT,14433,29322,45112,0.3298594446348988
WA,Lincoln,53043,2024,PRESIDENT,1678,5272,7107,0.2414388489208633
WA,Mason,53045,2024,PRESIDENT,17215,18127,36502,0.4870975043857167
WA,Okanogan,53047,2024,PRESIDENT,8466,11555,20617,0.4228560011987413
WA,Pacific,53049,2024,PRESIDENT,6825,7010,14178,0.493314058547163
WA,Pend Oreille,53051,2024,PRESIDENT,2461,5826,8497,0.2969711596476408
WA,Pierce,53053,2024,PRESIDENT,235169,188194,436685,0.5554783956084968
WA,San Juan,53055,2024,PRESIDENT,9539,2890,12939,0.7674792823235981
WA,Skagit,53057,2024,PRESIDENT,36956,30765,69837,0.545709602634338
WA,Skamania,53059,2024,PRESIDENT,3147,3961,7314,0.4427405740011255
WA,Snohomish,53061,2024,PRESIDENT,240099,161371,415327,0.5980496674720402
WA,Spokane,53063,2024,PRESIDENT,131163,145338,284958,0.4743671813121833
WA,Stevens,53065,2024,PRESIDENT,7492,19895,28095,0.2735604483879212
WA,Thurston,53067,2024,PRESIDENT,95663,62282,163637,0.6056728608059767
WA,Wahkiakum,53069,2024,PRESIDENT,1204,1757,3053,0.4066193853427896
WA,Walla Walla,53071,2024,PRESIDENT,13106,15476,29373,0.4585403400741725
WA,Whatcom,53073,2024,PRESIDENT,83295,49213,137006,0.6286035560117125
WA,Whitman,53075,2024,PRESIDENT,10480,8699,19845,0.546430992231086
WA,Yakima,53077,2024,PRESIDENT,36706,49368,88280,0.4264470107117132
CA,Alameda,6001,2022,GOVERNOR,387046,100923,487969,0.7931774354518423
CA,Alpine,6003,2022,GOVERNOR,363,256,619,0.5864297253634895
CA,Amador,6005,2022,GOVERNOR,6027,12628,18655,0.3230769230769231
CA,Butte,6007,2022,GOVERNOR,31502,40939,72441,0.4348642343424304
CA,Calaveras,6009,2022,GOVERNOR,7103,14137,21240,0.3344161958568738
CA,Colusa,6011,2022,GOVERNOR,1553,4009,5562,0.2792161093131967
CA,Contra Costa,6013,2022,GOVERNOR,265371,123132,388503,0.6830603624682435
CA,Del Norte,6015,2022,GOVERNOR,3264,5111,8375,0.3897313432835821
CA,El Dorado,6017,2022,GOVERNOR,34534,54137,88671,0.3894621691421095
CA,Fresno,6019,2022,GOVERNOR,98417,120668,219085,0.4492183399137321
CA,Glenn,6021,2022,GOVERNOR,1930,6000,7930,0.2433795712484237
CA,Humboldt,6023,2022,GOVERNOR,29541,18257,47798,0.618038411649023
CA,Imperial,6025,2022,GOVERNOR,16711,13158,29869,0.5594763801935116
CA,Inyo,6027,2022,GOVERNOR,3382,4095,7477,0.4523204493780928
CA,Kern,6029,2022,GOVERNOR,69701,119002,188703,0.3693687964685246
CA,Kings,6031,2022,GOVERNOR,9389,17523,26912,0.3488778240190249
CA,Lake,6033,2022,GOVERNOR,9771,10360,20131,0.4853708211216532
CA,Lassen,6035,2022,GOVERNOR,1444,7726,9170,0.1574700109051254
CA,Los Angeles,6037,2022,GOVERNOR,1620053,769174,2389227,0.6780657509730135
CA,Madera,6039,2022,GOVERNOR,13283,23678,36961,0.3593788046860204
CA,Marin,6041,2022,GOVERNOR,95289,23775,119064,0.8003174763152591
CA,Mariposa,6043,2022,GOVERNOR,2944,4896,7840,0.3755102040816326
CA,Mendocino,6045,2022,GOVERNOR,19031,11363,30394,0.6261433177600843
CA,Merced,6047,2022,GOVERNOR,25200,30073,55273,0.4559188030322219
CA,Modoc,6049,2022,GOVERNOR,687,2725,3412,0.201348182883939
CA,Mono,6051,2022,GOVERNOR,2493,2076,4569,0.5456336178594878
CA,Monterey,6053,2022,GOVERNOR,65262,36867,102129,0.6390153629233616
CA,Napa,6055,2022,GOVERNOR,32437,17671,50108,0.6473417418376307
CA,Nevada,6057,2022,GOVERNOR,26655,24082,50737,0.5253562488913416
CA,Orange,6059,2022,GOVERNOR,464206,492734,956940,0.4850941542834451
CA,Placer,6061,2022,GOVERNOR,73619,108450,182069,0.4043467037222152
CA,Plumas,6063,2022,GOVERNOR,3083,5550,8633,0.357118035445384
CA,Riverside,6065,2022,GOVERNOR,285000,310901,595901,0.4782673632029481
CA,Sacramento,6067,2022,GOVERNOR,274680,202933,477613,0.5751099739747453
CA,San Benito,6069,2022,GOVERNOR,10428,9150,19578,0.5326386760649708
CA,San Bernardino,6071,2022,GOVERNOR,215391,239109,454500,0.4739075907590759
CA,San Diego,6073,2022,GOVERNOR,573765,454533,1028298,0.5579754117969694
CA,San Francisco,6075,2022,GOVERNOR,257402,44064,301466,0.8538342632336648
CA,San Joaquin,6077,2022,GOVERNOR,85498,91827,177325,0.4821542365712674
CA,San Luis Obispo,6079,2022,GOVERNOR,61166,58464,119630,0.5112931538911645
CA,San Mateo,6081,2022,GOVERNOR,185599,61918,247517,0.7498434450967004
CA,Santa Barbara,6083,2022,GOVERNOR,80648,54726,135374,0.5957421661471184
CA,Santa Clara,6085,2022,GOVERNOR,379377,162518,541895,0.7000931914854354
CA,Santa Cruz,6087,2022,GOVERNOR,79117,25052,104169,0.7595061870614098
CA,Shasta,6089,2022,GOVERNOR,18607,49913,68520,0.2715557501459428
CA,Sierra,6091,2022,GOVERNOR,529,1014,1543,0.3428386260531432
CA,Siskiyou,6093,2022,GOVERNOR,6326,11397,17723,0.356937313095977
CA,Solano,6095,2022,GOVERNOR,77769,52850,130619,0.5953881135210038
CA,Sonoma,6097,2022,GOVERNOR,140041,57413,197454,0.7092335430024208
CA,Stanislaus,6099,2022,GOVERNOR,55311,75656,130967,0.4223277619553017
CA,Sutter,6101,2022,GOVERNOR,9082,19024,28106,0.3231338504233971
CA,Tehama,6103,2022,GOVERNOR,5024,15607,20631,0.2435170374678881
CA,Trinity,6105,2022,GOVERNOR,1860,2667,4527,0.4108681245858184
CA,Tulare,6107,2022,GOVERNOR,33273,58053,91326,0.3643321726561986
CA,Tuolumne,6109,2022,GOVERNOR,8471,14759,23230,0.3646577701248386
CA,Ventura,6111,2022,GOVERNOR,153226,127709,280935,0.5454144197056259
CA,Yolo,6113,2022,GOVERNOR,44328,22807,67135,0.6602815223058017
CA,Yuba,6115,2022,GOVERNOR,6534,13097,19631,0.3328409148795272
UT,Beaver,49001,2022,SENATE,443,1971,2414,0.1835128417564208
UT,Box Elder,49003,2022,SENATE,5001,14434,19435,0.2573192693594031
UT,Cache,49005,2022,SENATE,16166,24588,40754,0.396672719242283
UT,Carbon,49007,2022,SENATE,2233,4265,6498,0.3436441982148353
UT,Daggett,49009,2022,SENATE,117,377,494,0.2368421052631578
UT,Davis,49011,2022,SENATE,54460,66385,120845,0.4506599362820142
UT,Duchesne,49013,2022,SENATE,1015,5170,6185,0.16410670978173
UT,Emery,49015,2022,SENATE,768,3269,4037,0.1902402774337379
UT,Garfield,49017,2022,SENATE,557,1795,2352,0.2368197278911564
UT,Grand,49019,2022,SENATE,2493,1901,4394,0.5673645880746473
UT,Iron,49021,2022,SENATE,3949,12923,16872,0.2340564248458985
UT,Juab,49023,2022,SENATE,775,3886,4661,0.1662733319030251
UT,Kane,49025,2022,SENATE,1002,2553,3555,0.2818565400843882
UT,Millard,49027,2022,SENATE,763,4279,5042,0.1513288377627925
UT,Morgan,49029,2022,SENATE,1410,3665,5075,0.2778325123152709
UT,Piute,49031,2022,SENATE,85,692,777,0.1093951093951094
UT,Rich,49033,2022,SENATE,215,844,1059,0.2030217186024551
UT,Salt Lake,49035,2022,SENATE,222275,144931,367206,0.6053141833194446
UT,San Juan,49037,2022,SENATE,2104,3118,5222,0.4029107621600919
UT,Sanpete,49039,2022,SENATE,2025,7829,9854,0.2055003044448954
UT,Sevier,49041,2022,SENATE,1244,6411,7655,0.1625081645983017
UT,Summit,49043,2022,SENATE,12496,7305,19801,0.631079238422302
UT,Tooele,49045,2022,SENATE,7889,13371,21260,0.3710724365004704
UT,Uintah,49047,2022,SENATE,1725,8905,10630,0.1622765757290686
UT,Utah,49049,2022,SENATE,74000,127096,201096,0.3679834506902176
UT,Wasatch,49051,2022,SENATE,5581,7384,12965,0.4304666409564211
UT,Washington,49053,2022,SENATE,18555,49420,67975,0.2729680029422582
UT,Wayne,49055,2022,SENATE,432,1056,1488,0.2903225806451613
UT,Weber,49057,2022,SENATE,32276,42007,74283,0.4345004913641075
WA,Adams,53001,2022,SENATE,969,3150,4119,0.235251274581209
WA,Asotin,53003,2022,SENATE,3181,5824,9005,0.3532481954469739
WA,Benton,53005,2022,SENATE,25506,49983,75489,0.337877041688193
WA,Chelan,53007,2022,SENATE,14370,19812,34182,0.4203967000175531
WA,Clallam,53009,2022,SENATE,20784,19401,40185,0.5172079134005226
WA,Clark,53011,2022,SENATE,105055,100250,205305,0.5117021017510534
WA,Columbia,53013,2022,SENATE,568,1422,1990,0.2854271356783919
WA,Cowlitz,53015,2022,SENATE,17439,27446,44885,0.3885262337083658
WA,Douglas,53017,2022,SENATE,5275,10806,16081,0.3280268640009949
WA,Ferry,53019,2022,SENATE,1060,2348,3408,0.3110328638497652
WA,Franklin,53021,2022,SENATE,7018,15061,22079,0.317858598668418
WA,Garfield,53023,2022,SENATE,307,977,1284,0.2390965732087227
WA,Grant,53025,2022,SENATE,7211,19589,26800,0.2690671641791045
WA,Grays Harbor,53027,2022,SENATE,13581,15685,29266,0.4640538508849859
WA,Island,53029,2022,SENATE,23680,19275,42955,0.5512745896868816
WA,Jefferson,53031,2022,SENATE,14970,6185,21155,0.7076341290475066
WA,King,53033,2022,SENATE,668692,220307,888999,0.752185323043108
WA,Kitsap,53035,2022,SENATE,70931,52130,123061,0.5763889453198008
WA,Kittitas,53037,2022,SENATE,8318,12446,20764,0.4005971874397996
WA,Klickitat,53039,2022,SENATE,4798,6639,11437,0.4195156072396607
WA,Lewis,53041,2022,SENATE,11216,24459,35675,0.3143938332165382
WA,Lincoln,53043,2022,SENATE,1400,4558,5958,0.2349781805975159
WA,Mason,53045,2022,SENATE,13777,15612,29389,0.4687808363673483
WA,Okanogan,53047,2022,SENATE,6405,9793,16198,0.395419187554019
WA,Pacific,53049,2022,SENATE,5693,5958,11651,0.4886275856149686
WA,Pend Oreille,53051,2022,SENATE,2032,4739,6771,0.3001033820705951
WA,Pierce,53053,2022,SENATE,175143,156285,331428,0.5284496180165827
WA,San Juan,53055,2022,SENATE,8254,3055,11309,0.729861172517464
WA,Skagit,53057,2022,SENATE,29313,27390,56703,0.5169567747738215
WA,Skamania,53059,2022,SENATE,2620,3599,6219,0.4212895963981347
WA,Snohomish,53061,2022,SENATE,184423,135322,319745,0.5767814977560244
WA,Spokane,53063,2022,SENATE,100719,120369,221088,0.4555606817194963
WA,Stevens,53065,2022,SENATE,6073,16803,22876,0.2654747333449904
WA,Thurston,53067,2022,SENATE,73184,52567,125751,0.5819754912485785
WA,Wahkiakum,53069,2022,SENATE,1007,1551,2558,0.3936669272869429
WA,Walla Walla,53071,2022,SENATE,10024,14164,24188,0.4144203737390441
WA,Whatcom,53073,2022,SENATE,65950,45038,110988,0.5942083828882402
WA,Whitman,53075,2022,SENATE,7771,7714,15485,0.501840490797546
WA,Yakima,53077,2022,SENATE,22538,40182,62720,0.3593431122448979
